No.	User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	IM	Total
444	Danger	1481	52	10	16	0	0	735	22	25	0	0	0	2341
625	Exploding Boy	1814	7	0	8	3	1	467	22	15	0	1	0	2338
892	J Di	1548	57	0	75	32	0	579	44	0	0	0	0	2335
1208	Malinaccier	773	5	0	362	28	92	741	15	12	0	307	0	2335
1318	Mkdw	2126	11	4	16	2	0	156	3	12	0	3	0	2333
1596	RasputinAXP	2198	13	0	28	5	0	84	3	0	0	0	0	2331
1935	ThaddeusB	1824	368	7	26	5	5	73	5	6	0	1	0	2320
1964	TheProject	2204	13	0	22	8	1	66	3	0	0	0	0	2317
1612	Redwolf24	1940	48	0	50	25	0	207	45	0	0	0	0	2315
1763	Seb26	1549	31	0	165	11	26	493	26	0	0	10	0	2311
94	Andrevan	719	96	1	23	13	0	93	31	3	1259	70	0	2308
743	Gimmetrow	975	73	6	294	4	124	764	33	25	0	10	0	2308
2117	Wifione	1128	14	37	151	7	19	829	20	11	0	89	0	2305
33	Adambro	1953	18	3	57	1	7	239	6	9	0	5	0	2298
1833	Smashville	1709	16	1	66	4	1	420	29	38	0	1	0	2285
973	Jnc	1908	159	0	114	34	0	46	20	0	0	0	0	2281
1340	Mr. Lefty	1550	10	0	62	6	0	609	31	1	0	0	0	2269
989	John Vandenberg	1194	347	171	127	25	33	274	53	8	0	36	0	2268
348	Charles Matthews	2042	53	0	5	1	0	144	21	0	0	0	0	2266
2049	UninvitedCompany	1864	43	0	60	27	0	119	33	0	65	47	0	2258
620	Evil Monkey	1894	13	0	28	12	0	284	23	0	0	0	0	2254
836	Hiberniantears	1075	9	0	71	4	22	1035	24	8	0	3	0	2251
1224	MarkGallagher	1932	27	0	82	62	0	116	26	0	0	0	0	2245
2071	VernoWhitney	1632	312	145	20	1	0	122	2	7	0	1	0	2242
334	Cdc	2188	10	0	10	9	0	21	2	0	0	0	0	2240
285	CJLL Wright	1872	30	0	61	3	7	256	4	0	0	0	0	2233
417	CryptoDerk	1091	1	0	67	9	0	1014	45	0	0	0	0	2227
977	JoanneB	1191	48	0	51	22	0	809	105	0	0	0	0	2226
675	Fluffernutter	651	49	186	333	9	48	817	15	104	0	10	0	2222
393	Coelacan	1194	30	0	85	10	1	845	53	0	0	0	0	2218
1297	Mike 7	1700	21	0	48	3	0	426	6	5	0	0	0	2209
1689	Ruud Koot	1486	148	9	87	19	10	368	62	3	0	5	0	2197
1718	Sam Korn	1014	21	6	65	10	13	970	76	4	0	13	0	2192
1768	Secretlondon	454	7	0	8	0	1	799	30	17	849	26	0	2191
650	FayssalF	411	8	0	309	52	13	1310	85	1	0	0	0	2189
1068	KillerChihuahua	1371	41	1	161	13	21	537	30	12	0	0	0	2187
837	Hiding	1907	143	0	37	25	3	53	14	0	0	4	0	2186
1230	Martinp23	1390	89	0	228	31	4	359	71	2	0	4	0	2178
1913	Tangotango	1508	28	0	23	1	1	599	17	0	0	0	0	2177
966	Jinian	2149	6	0	9	3	0	0	0	0	0	0	0	2167
574	Efe	1954	7	0	11	1	3	174	0	2	0	1	0	2153
2104	Wayward	1420	1	0	2	2	0	695	30	0	0	0	0	2150
630	EyeEightDestroyerBot	2149	0	0	0	0	0	0	0	0	0	0	0	2149
470	David Levy	1325	189	4	360	64	5	167	11	11	0	7	0	2143
859	Ian13	1953	53	0	32	9	2	72	21	0	0	0	0	2142
1014	Jreferee	1853	55	0	145	7	27	36	4	0	0	3	0	2130
215	Bishonen	680	79	5	301	54	32	738	219	13	0	5	0	2126
279	CAT:TEMP deletion bot	2118	0	0	0	0	0	0	0	0	0	0	0	2118
459	Darkwind	1357	49	84	93	5	15	481	6	24	0	4	0	2118
2034	Trusilver	757	11	0	62	1	4	1235	35	12	0	1	0	2118
570	Edokter	1821	68	11	83	20	33	68	5	2	0	2	0	2113
2006	Tom Morris	1551	35	61	202	3	31	140	5	11	0	52	0	2091
690	Fred Bauder	242	88	698	169	38	11	460	240	94	0	47	0	2087
2078	Violetriga	1665	125	1	79	33	2	138	43	1	0	0	0	2087
410	Crazycomputers	775	14	70	87	15	13	980	96	23	0	6	0	2079
900	JDoorjam	1761	47	0	100	18	3	121	21	0	0	0	0	2071
673	Flowerparty	1957	59	0	19	3	0	29	0	0	0	0	0	2067
712	GRBerry	1667	195	0	53	20	1	113	10	0	0	0	0	2059
992	Johnleemk	1762	20	0	6	3	0	240	20	0	0	0	0	2051
1390	Nightstallion	1810	129	0	72	7	0	29	2	0	0	0	0	2049
736	Georgewilliamherbert	97	126	8	225	5	30	1391	113	48	0	3	0	2046
1285	Mfield	937	17	10	194	7	34	809	12	25	0	1	0	2046
2079	Viridae	1107	102	0	86	34	26	561	88	12	0	19	0	2035
1656	Robdurbar	1590	72	0	147	84	0	112	25	0	0	0	0	2030
1878	Steve Smith	1343	96	16	116	7	25	376	36	11	0	3	0	2029
937	Jc37	1657	127	2	94	13	32	86	8	3	0	6	0	2028
377	Circeus	1768	8	0	50	27	0	157	13	0	0	0	0	2023
1071	Kilo-Lima	1232	2	0	36	9	0	675	69	0	0	0	0	2023
589	Elonka	1350	25	0	48	13	2	544	26	8	0	1	0	2017
1875	Stephen Bain	1746	42	0	84	23	1	96	18	0	0	0	0	2010
754	Goldom	1940	7	0	8	0	0	50	4	0	0	0	0	2009
869	Ilmari Karonen	1083	642	0	32	2	1	212	32	0	0	1	0	2005
435	DYKUpdateBot	1880	0	0	0	120	0	0	0	0	0	0	0	2000
1250	Mattinbgn	1730	48	24	77	3	12	102	2	1	0	1	0	2000
1999	Tizio	1874	51	0	21	31	0	21	1	0	0	0	0	1999
1107	Kylu	1427	44	0	191	12	25	233	26	0	0	35	0	1993
114	Anna Frodesiak	1213	10	9	93	6	7	627	10	11	0	0	0	1986
483	De728631	1469	20	34	38	1	5	394	4	17	0	2	0	1984
211	Billinghurst	1498	20	30	16	1	0	368	17	18	0	10	1	1979
1404	NoSeptember	1640	48	2	24	25	1	122	61	0	0	45	0	1968
1740	Scarian	650	23	0	179	3	22	1014	65	4	0	5	0	1965
95	Andrew Gray	1519	153	3	177	7	12	44	20	1	0	22	0	1958
1204	Malcolm	1523	65	0	50	17	3	279	19	0	0	0	0	1956
429	DESiegel	1638	204	0	12	2	0	58	30	1	0	1	0	1946
56	Ale jrb	1473	10	0	7	1	0	423	26	1	0	4	0	1945
203	Bhadani	1322	10	0	98	19	1	479	10	1	0	0	0	1940
107	AngelOfSadness	1615	5	0	57	2	6	223	14	11	0	0	0	1933
784	Guerillero	1411	41	45	99	8	23	216	8	27	0	54	0	1932
1118	Lar	989	120	3	127	29	14	583	46	4	0	12	0	1927
1194	Madman	1173	195	246	40	5	5	215	23	15	0	4	0	1921
1293	Michig	1781	43	0	30	2	0	57	0	0	0	0	0	1913
1448	Orphaned talkpage deletion bot	1853	58	0	0	0	0	0	0	0	0	0	0	1911
855	Hyacinth	1876	25	0	1	1	0	6	1	0	0	0	0	1910
1009	Joy	1280	446	7	74	10	6	82	0	5	0	0	0	1910
2115	Whouk	1844	36	0	1	1	0	14	0	1	0	0	0	1897
2114	Who	1302	7	0	15	9	0	462	98	0	0	1	0	1894
1209	Mallanox	1860	19	0	2	1	0	5	0	0	0	0	0	1887
1451	OverlordQ	749	15	23	64	9	4	843	98	76	0	2	0	1883
343	Ceyockey	1801	52	0	5	0	0	16	2	0	0	0	0	1876
1645	Rklawton	1107	17	13	30	2	3	647	17	36	0	0	0	1872
426	Cyrius	1641	102	0	30	13	0	72	8	0	0	0	0	1866
1087	Konstable	1080	91	0	97	25	0	432	135	0	0	0	0	1860
152	Aude	1204	41	0	48	11	6	520	17	1	0	2	0	1850
2162	Xymmax	1207	96	22	304	20	64	113	4	11	0	8	0	1849
