No.	User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	IM	Total
1616	RegentsPark	612	16	17	374	55	122	138	24	9	0	9	0	1376
1691	RxS	813	3	0	14	3	7	518	11	2	0	0	0	1371
1792	Shereth	824	34	0	12	4	1	484	10	0	0	1	0	1370
700	Func	9	0	0	14	1	0	1215	124	0	0	0	0	1363
1108	Kyorosuke	1027	48	0	44	23	0	174	47	0	0	0	0	1363
1394	Nikkimaria	1191	41	14	34	1	16	24	6	7	0	29	0	1363
1679	Royalbroil	1131	26	0	98	23	6	65	4	0	0	3	0	1356
585	Eliz81	960	48	0	93	0	19	229	4	0	0	1	0	1354
305	Canadian Paul	1231	61	0	23	6	1	28	3	0	0	0	0	1353
1509	Pharos	437	83	1	595	157	2	41	8	2	0	22	0	1348
1472	Pastordavid	1312	9	0	8	6	0	10	1	0	0	0	0	1346
2045	Ugen64	1073	32	0	35	6	1	177	22	0	0	0	0	1346
1094	Ks0stm	570	17	23	240	8	52	360	7	20	0	40	0	1337
1312	Mirv	1146	28	0	38	37	0	40	46	0	0	1	0	1336
1925	Tcncv	250	60	3	306	9	84	589	8	20	0	4	0	1333
474	DavidWBrooks	1205	1	0	19	2	4	101	0	0	0	0	0	1332
2099	Wangi	829	45	0	23	21	2	386	22	0	0	0	0	1328
498	Denelson83	1178	18	0	58	12	11	38	6	0	0	0	0	1321
697	Fritzpoll	1121	28	1	44	3	7	68	11	5	0	32	0	1320
579	Electionworld	1285	33	0	1	0	0	0	0	0	0	0	0	1319
1520	Physchim62	1115	41	0	34	5	0	107	17	0	0	0	0	1319
1753	Scott MacDonald	1090	39	7	60	6	10	82	17	5	0	1	0	1317
1482	Pax:Vobiscum	1011	53	2	188	6	13	41	1	1	0	0	0	1316
1512	Phil Sandifer	676	139	0	80	60	8	281	69	0	0	0	0	1313
1040	Karada	636	16	0	50	8	1	576	23	2	0	0	0	1312
1265	MediaWiki default	1310	0	0	0	0	0	0	0	0	0	0	0	1310
1077	Kingpin13	772	9	48	23	0	17	362	21	27	0	26	0	1305
1058	Kelly Martin	736	56	0	27	11	0	412	60	0	0	0	0	1302
1773	Sephiroth BCR	909	17	0	36	6	1	323	7	0	0	0	0	1299
1478	Paul August	1141	11	0	9	1	4	128	3	0	0	0	0	1297
195	Ben MacDui	1211	10	0	28	0	1	42	1	0	0	0	0	1293
1289	Michael Snow	870	106	0	22	164	1	54	70	3	0	0	0	1290
2022	TravisTX	889	14	0	64	3	11	224	42	35	0	5	0	1287
1600	Raymond arritt	874	2	0	32	8	5	344	21	0	0	0	0	1286
2062	Vanished user 19794758563875	1027	68	26	72	24	4	54	7	3	0	0	0	1285
492	Dekimasu	1165	65	0	16	1	0	20	6	7	0	1	0	1281
78	Amalas	1220	2	0	4	52	0	0	0	0	0	0	0	1278
569	Edison	1005	31	0	4	1	1	228	4	4	0	0	0	1278
1365	Nandesuka	701	29	10	100	16	3	387	27	1	0	0	0	1274
505	Deville	1016	6	0	16	1	0	219	4	3	0	0	0	1265
1626	ReyBrujo	950	36	0	101	29	5	138	2	0	0	0	0	1261
1586	Rama	885	13	0	19	10	0	316	13	1	0	0	0	1257
484	Deacon of Pndapetzim	874	51	2	39	4	5	199	20	14	0	35	0	1243
231	Bobak	236	20	0	172	6	10	776	11	11	0	0	0	1242
601	Ericorbit	340	9	1	398	7	18	455	0	11	0	0	0	1239
1041	Karanacs	755	14	0	18	0	3	17	0	2	0	426	0	1235
580	Elen of the Roads	377	26	25	73	7	21	560	77	62	0	4	0	1232
1881	Steven Walling	917	3	2	193	3	22	70	4	1	0	13	0	1228
1826	Slon02	747	9	7	180	2	21	253	0	4	0	0	0	1223
1359	NSLE	561	11	0	90	18	0	438	101	0	0	0	0	1219
1862	SpuriousQ	624	1	0	17	1	0	569	5	0	0	0	0	1217
400	Consumed Crustacean	741	25	0	46	3	1	359	36	1	0	0	0	1212
550	Duncharris	986	57	0	47	10	0	92	20	0	0	0	0	1212
2177	Yomangani	1125	9	0	36	8	0	31	2	0	0	0	0	1211
1492	Pending deletion script	1210	0	0	0	0	0	0	0	0	0	0	0	1210
652	Feezo	630	13	30	130	7	31	218	2	7	0	135	0	1203
660	Filelakeshoe	934	18	8	15	2	6	196	6	2	0	13	0	1200
1757	Scottywong	833	19	9	168	12	27	100	13	11	0	2	0	1194
250	Brendanconway	1005	26	9	31	8	3	91	15	0	0	4	0	1192
1419	Obli	1047	6	0	28	5	0	99	7	0	0	0	0	1192
485	DeadEyeArrow	933	14	0	25	5	0	199	6	0	0	0	0	1182
263	Bryan Derksen	828	324	0	5	7	0	10	0	0	0	2	0	1176
888	It Is Me Here	776	18	157	34	4	5	165	3	5	0	9	0	1176
1484	Pb30	893	1	0	0	0	1	278	3	0	0	0	0	1176
1644	Rkitko	1050	70	2	23	3	5	20	1	0	0	0	0	1174
2040	Tyrol5	886	1	4	1	0	0	237	0	2	0	40	0	1171
1239	Master Thief Garrett	1145	6	0	7	1	0	9	2	0	0	0	0	1170
633	Ezeu	922	31	0	38	35	4	125	9	0	0	0	0	1164
841	Hoary	560	31	7	103	6	11	428	12	6	0	0	0	1164
2122	Wikibofh	246	7	0	42	48	0	783	37	0	0	0	0	1163
759	Goodnightmush	955	2	0	38	2	9	147	1	1	0	0	0	1155
224	Blood Red Sandman	725	8	10	5	0	0	371	14	20	0	1	0	1154
134	Arjun01	567	6	0	118	23	0	422	14	3	0	0	0	1153
622	Evilphoenix	838	61	1	80	5	2	143	16	0	0	0	0	1146
128	Aranel	1087	18	0	13	0	0	24	3	0	0	0	0	1145
947	Jehochman	208	36	29	122	16	20	594	99	19	0	1	0	1144
1446	Orlady	599	50	3	163	10	25	274	4	11	0	4	0	1143
1557	Pseudo-Richard	992	38	0	53	24	12	15	3	0	0	0	0	1137
1461	Pablo-flores	921	2	0	16	6	2	180	2	0	0	0	0	1129
1338	Morven	814	26	0	7	1	0	224	54	1	0	0	0	1127
419	Cuchullain	904	110	2	28	1	5	74	1	0	0	0	0	1125
655	Fences and windows	754	83	76	47	2	11	123	14	14	0	0	0	1124
547	Duja	875	136	0	20	9	2	72	9	0	0	0	0	1123
1455	PBS	755	121	16	129	19	27	41	7	3	0	0	0	1118
2027	Trialsanderrors	685	296	0	52	61	0	21	2	0	0	0	0	1117
271	Burgundavia	1105	0	0	4	0	0	1	0	0	0	0	0	1110
2146	Writ Keeper	744	22	52	23	4	5	208	7	19	0	23	0	1107
386	ClockworkSoul	759	46	1	39	7	4	222	19	4	0	0	0	1101
447	Daniel J. Leivick	924	9	0	28	1	3	124	7	3	0	0	0	1099
1518	Philwelch	933	44	0	28	7	0	72	14	0	0	0	0	1098
849	Huntster	905	72	9	53	5	3	44	2	4	0	0	0	1097
1582	Ragib	607	20	4	119	9	10	310	13	1	0	0	0	1093
270	Bunchofgrapes	738	10	0	62	44	0	201	37	0	0	0	0	1092
1124	Lear's Fool	756	3	31	39	3	6	230	7	8	0	8	0	1091
626	Extransit	833	5	2	6	0	1	233	1	6	0	3	0	1090
538	Dragons flight	696	67	0	130	36	7	121	28	0	0	1	0	1086
2156	Xdamr	1040	10	0	2	0	0	29	1	1	0	0	0	1083
1524	Pigman	1028	9	0	16	0	1	22	4	0	0	0	0	1080
649	Fayenatic london	808	199	12	13	3	0	36	1	1	0	1	0	1074
323	Casliber	200	123	41	407	37	100	138	6	2	0	18	0	1072
842	Horologium	711	7	3	157	6	43	128	6	8	0	1	0	1070
1754	Scott Martin	852	76	25	41	2	6	65	3	0	0	0	0	1070
790	Gwalla	965	10	0	2	1	0	83	8	0	0	0	0	1069
1800	Shoeofdeath	937	4	0	7	1	0	117	0	1	0	0	0	1067
824	Henrik	677	39	4	55	15	7	226	35	2	0	5	0	1065
218	Bjelleklang	962	14	3	17	1	5	49	4	9	0	0	0	1064
1345	Mtmelendez	1045	5	0	11	0	1	2	0	0	0	0	0	1064
706	Fys	802	7	0	29	13	0	165	40	0	0	0	0	1056
1113	La goutte de pluie	704	37	7	37	17	6	203	41	1	0	1	0	1054
823	Hemlock Martinis	862	58	0	29	2	5	83	8	0	0	0	0	1047
611	Eugene van der Pijll	971	54	0	9	3	0	8	1	0	0	0	0	1046
2184	Zedla	873	6	0	32	2	2	122	9	0	0	0	0	1046
636	FT2	523	45	78	81	7	5	234	38	14	0	20	0	1045
104	AndyZ	912	12	0	0	0	0	113	4	0	0	0	0	1041
309	Canley	1018	14	0	2	1	0	6	0	0	0	0	0	1041
2174	Ymblanter	934	10	8	28	4	4	48	1	4	0	0	0	1041
266	Buchanan-Hermit	514	18	0	28	6	0	451	20	0	0	0	0	1037
455	Dante Alighieri	765	20	0	21	17	3	182	29	0	0	0	0	1037
1728	Sannse	883	30	0	19	10	0	58	35	0	0	0	0	1035
1500	Peruvianllama	624	7	0	18	4	0	367	6	0	0	0	0	1026
89	Anas Salloum	665	5	0	1	0	0	351	2	0	0	0	0	1024
1828	Slp1	646	19	45	52	10	10	223	5	14	0	0	0	1024
2058	Valley2city	716	8	3	26	5	8	228	2	9	0	18	0	1023
1199	Mahanga	908	10	0	28	1	10	62	3	0	0	0	0	1022
408	Cowman109	432	36	0	101	43	4	359	44	0	0	0	0	1019
479	Dbachmann	512	38	2	164	41	27	213	20	1	0	0	0	1018
958	Jfdwolff	470	46	21	128	18	10	302	20	1	0	1	0	1017
337	Celestianpower	745	9	0	19	3	0	170	70	0	0	0	0	1016
609	Esteffect	845	26	1	18	7	0	98	21	0	0	0	0	1016
1321	Mlaffs	1005	3	0	2	0	0	2	0	0	0	0	0	1012
2009	TomStar81	824	6	0	104	9	10	57	2	0	0	0	0	1012
2155	Xavexgoem	728	28	1	68	15	16	125	17	9	0	5	0	1012
707	Fæ	335	14	187	226	1	29	205	1	9	0	1	0	1008
118	Anonymous editor	481	1	0	57	16	0	416	32	0	0	0	0	1003
1535	Polargeo	967	2	3	7	1	0	14	0	0	0	8	0	1002
1693	Ryan Norton	772	135	7	27	16	2	36	7	0	0	0	0	1002
199	Berean Hunter	44	29	4	87	2	19	757	4	55	0	0	0	1001
1473	Patar knight	903	25	10	5	0	1	22	5	2	0	23	0	996
1045	Kateshortforbob	843	4	6	28	3	1	104	3	1	0	2	0	995
1812	SirFozzie	369	19	29	114	9	50	359	34	10	0	0	0	993
1956	The undertow	809	10	0	38	9	4	112	7	0	0	4	0	993
328	CattleGirl	908	12	0	19	3	1	42	7	0	0	0	0	992
496	Deltabeignet	844	1	0	5	6	0	130	2	0	0	0	0	988
267	Bucketsofg	658	22	0	66	6	0	224	8	0	0	0	0	984
325	Catfish Jim and the soapdish	866	26	0	26	2	1	54	0	4	0	1	0	980
207	BigrTex	964	10	0	2	0	0	1	0	0	0	0	0	977
366	ChrisTheDude	909	20	0	8	3	0	25	2	0	0	0	0	967
1955	The ed17	385	66	101	192	24	68	78	6	19	0	26	0	965
2065	Vary	656	55	0	33	4	3	202	9	1	0	0	0	963
60	Alex.muller	567	25	5	25	1	3	309	15	0	0	11	0	961
269	Bumm13	868	42	0	7	1	0	32	4	2	0	5	0	961
1591	Ramitmahajan	797	7	0	27	6	2	112	6	0	0	0	0	957
1193	Madchester	518	16	0	143	18	6	244	10	0	0	0	0	955
772	Grenavitar	868	32	0	3	2	0	41	7	0	0	1	0	954
472	David.Monniaux	523	62	0	100	13	0	222	30	3	0	0	0	953
303	Camw	636	25	25	28	3	4	221	0	10	0	0	0	952
123	AntiAbuseBot	54	0	7	0	0	46	824	2	14	0	0	0	947
1424	OhanaUnited	554	37	0	71	7	26	161	8	0	0	82	0	946
15	AA	916	7	0	2	2	1	14	2	0	0	0	0	944
662	Finlay McWalter	380	3	3	26	6	2	500	19	5	0	0	0	944
1361	Nae'blis	844	53	0	28	2	0	15	2	0	0	0	0	944
716	Gadget850	829	47	10	50	1	3	2	0	0	0	0	0	942
1711	Salix alba	838	21	0	34	16	14	12	3	3	0	1	0	942
1823	Slambo	700	20	0	33	0	0	184	5	0	0	0	0	942
142	Arwel Parry	149	8	0	46	8	1	688	39	1	0	0	0	940
1013	Jredmond	649	12	0	37	4	2	205	10	19	0	1	0	939
1197	Magnus Manske	916	4	0	1	1	0	14	0	0	0	0	0	936
1847	Somno	876	22	0	14	5	2	16	0	1	0	0	0	936
2060	Vancouverguy	935	0	0	0	0	0	0	0	0	0	0	0	935
670	FloNight	518	12	137	77	7	3	158	20	1	0	1	0	934
1389	Nightscream	39	16	2	256	15	36	527	7	35	0	0	0	933
1135	Lexi Marie	642	28	0	42	25	0	143	52	0	0	0	0	932
885	Islander	695	23	5	109	1	6	81	5	1	0	4	0	930
1647	Rlendog	871	6	2	13	0	2	34	0	1	0	0	0	929
163	BOZ	74	736	2	84	9	19	4	0	0	0	0	0	928
1528	Piotrus	619	178	0	19	8	2	80	17	0	0	0	0	923
81	Amberrock	753	9	0	23	5	0	121	9	0	0	0	0	920
819	Heah	782	14	0	17	6	0	92	9	0	0	0	0	920
240	BorgHunter	661	27	0	55	19	1	117	28	0	0	0	0	908
1794	Shii	666	48	1	25	12	0	94	58	0	0	2	0	906
1897	Swarm	419	5	13	32	5	4	333	10	20	0	61	0	902
2113	WhisperToMe	613	177	0	61	11	2	30	5	0	0	0	0	899
1235	Masamage	841	16	0	16	2	3	19	1	0	0	0	0	898
2097	Walton One	846	19	0	3	3	0	25	2	0	0	0	0	898
293	Cactus.man	595	18	0	61	34	0	179	10	0	0	0	0	897
661	Filiocht	851	2	0	3	5	0	36	0	0	0	0	0	897
34	Adashiel	362	51	0	51	33	1	369	29	0	0	0	0	896
179	Basalisk	512	9	12	28	1	2	285	15	28	0	4	0	896
1219	Mark	457	85	0	121	26	8	158	37	3	0	0	0	895
1354	Mysekurity	737	14	0	40	21	0	81	2	0	0	0	0	895
1617	Remember the dot	817	11	0	26	2	7	18	1	0	0	13	0	895
1374	Neelix	852	23	0	12	2	0	3	2	0	0	0	0	894
1686	Rune.welsh	819	5	0	28	7	0	33	1	0	0	0	0	893
1121	Laurascudder	871	4	0	3	2	1	10	1	0	0	0	0	892
1752	Scott Burley	842	1	0	11	1	0	33	3	0	0	0	0	891
648	Fawcett5	813	11	0	3	2	0	58	0	0	0	0	0	887
1585	Ram-Man	834	3	0	16	0	1	25	6	0	0	0	0	885
732	Geniac	229	0	0	94	17	6	532	4	0	0	2	0	884
146	Astronautics	523	6	0	35	41	0	139	137	0	0	0	0	881
507	Dgies	575	29	0	27	4	3	223	18	0	0	2	0	881
1144	Linuxbeak	339	5	0	63	17	0	386	34	0	20	15	0	879
379	Citicat	791	22	0	24	1	0	36	4	0	0	0	0	878
1959	TheCatalyst31	815	40	3	3	0	0	7	0	0	0	5	0	873
2121	Wikiacc	785	31	0	10	8	0	31	8	0	0	0	0	873
1637	Rifleman 82	539	59	0	46	10	5	188	13	9	0	3	0	872
1110	L'Aquatique	744	18	0	24	3	13	55	8	3	0	3	0	871
1415	Nunh-huh	461	30	0	28	3	1	328	12	3	0	2	0	868
1431	Oldelpaso	762	19	0	23	11	1	41	2	0	0	2	0	861
723	Garzo	354	4	0	42	5	2	444	8	0	0	0	0	859
1745	Schutz	840	4	3	3	0	0	3	1	0	0	0	0	854
2105	Wehwalt	446	57	35	57	25	39	87	31	19	0	56	0	852
876	Inter	649	4	0	6	1	0	181	10	0	0	0	0	851
1885	Stewartadcock	828	1	0	10	3	0	6	1	0	0	0	0	849
1921	Taxman	246	19	1	15	10	0	175	12	0	34	337	0	849
546	Dsmdgold	831	11	0	3	0	0	3	0	0	0	0	0	848
2072	Verrai	750	5	0	14	6	0	69	2	1	0	0	0	847
793	Gyrofrog	284	18	18	47	3	5	444	14	12	0	0	0	845
2066	Vassyana	606	16	32	32	4	3	121	30	0	0	0	0	844
1593	Random832	609	127	0	30	11	10	33	8	0	0	9	0	837
1669	Rogerd	639	11	0	29	6	1	147	1	1	0	0	0	835
1954	The Wordsmith	747	9	7	23	4	6	30	4	2	0	3	0	835
729	GeeJo	722	10	0	65	33	0	4	0	0	0	0	0	834
1655	Robchurch	714	11	0	6	4	0	83	12	0	0	0	0	830
1677	RoyBoy	150	2	0	40	2	1	622	13	0	0	0	0	830
66	Alhutch	621	3	0	15	6	0	175	9	0	0	0	0	829
1910	Taelus	528	38	19	126	7	38	40	17	16	0	0	0	829
560	EWS23	661	3	0	9	3	2	135	11	0	0	0	0	824
953	Jersey Devil	559	10	0	28	6	2	199	18	0	0	0	0	822
1433	Oleg Alexandrov	694	60	0	14	8	0	35	10	0	0	1	0	822
1908	Tabercil	468	37	25	68	12	7	192	5	2	0	0	0	816
132	Arctic.gnome	660	68	1	39	5	5	30	1	3	0	3	0	815
1067	KieferSkunk	775	11	0	3	0	3	16	3	1	0	0	0	812
249	Bratsche	568	16	0	18	46	0	140	19	0	0	0	0	807
448	Daniel Olsen	711	1	0	10	0	0	83	2	0	0	0	0	807
238	Bookofjude	650	27	0	29	5	0	85	9	0	0	0	0	805
1205	Malcolm Farmer	776	3	0	0	0	0	23	1	0	0	0	0	803
2036	Turnstep	791	8	0	2	0	0	1	0	0	0	0	0	802
54	Alasdair	547	3	0	11	1	0	227	11	1	0	0	0	801
1373	Necrothesp	618	43	0	9	1	1	115	8	2	0	0	0	797
96	Andrew Levine	718	15	0	19	2	0	36	6	0	0	0	0	796
1073	Kim Dent-Brown	594	5	2	50	3	3	113	11	14	0	0	0	795
1201	Mairi	778	5	0	3	2	0	5	0	0	0	0	0	793
370	Christopher Parham	749	10	0	4	2	0	24	1	0	0	0	0	790
182	Bbatsell	391	9	0	18	2	0	348	18	0	0	0	0	786
1339	Morwen	659	16	7	6	1	2	85	9	0	0	1	0	786
1169	Lupin	642	1	0	5	3	0	126	8	0	0	0	0	785
529	Doug	475	56	2	22	137	8	43	11	12	0	16	1	783
1384	Nickptar	617	13	0	3	1	0	115	31	0	0	0	0	780
981	Joelr31	661	12	0	9	8	0	85	1	0	0	0	0	776
1413	Nufy8	371	1	0	37	2	8	338	15	1	0	0	0	773
1274	Meno25	678	38	0	4	1	1	21	4	1	0	22	0	770
169	Bald Zebra	702	17	0	33	2	0	11	1	2	0	0	0	768
954	Jersyko	578	1	0	52	10	5	116	6	0	0	0	0	768
36	AdjustShift	164	0	0	17	1	1	551	2	29	0	2	0	767
317	Caribbean H.Q.	377	16	0	75	10	9	258	20	0	0	1	0	766
1798	Shirt58	711	11	1	11	0	4	26	1	0	0	0	0	765
1015	Jtdirl	112	30	0	118	44	0	431	29	0	0	0	0	764
180	Bastique	365	97	9	48	8	5	119	51	0	10	51	0	763
284	CJCurrie	443	23	9	130	9	2	129	13	0	0	0	0	758
1031	KTC	638	10	12	34	1	8	32	1	1	0	17	0	754
1665	Rockpocket	515	21	0	34	9	5	147	17	1	0	1	0	750
614	Eustress	679	7	0	32	6	4	18	1	2	0	0	0	749
1387	Night Gyr	658	40	0	12	3	1	32	2	0	0	0	0	748
1276	Mercury	314	93	0	82	34	25	137	62	0	0	0	0	747
462	Dave souza	79	3	0	14	2	0	621	20	7	0	0	0	746
1979	Thunderboltz	618	29	0	13	6	0	80	0	0	0	0	0	746
1019	Julia W	387	315	7	3	2	0	13	2	1	0	15	0	745
1150	Lommer	737	2	0	1	2	0	1	0	0	0	0	0	743
1130	Leithp	371	23	0	6	1	0	329	12	0	0	0	0	742
552	Durova	24	1	0	211	37	11	388	66	0	0	0	0	738
1138	Leyo	723	6	0	3	0	0	2	0	0	0	0	1	735
632	Eyrian	633	23	0	33	3	0	40	1	0	0	0	0	733
4	23skidoo	540	8	0	33	6	0	132	13	0	0	0	0	732
11	@pple	575	51	0	7	1	0	85	9	0	0	0	0	728
1668	Roger Davies	521	26	31	14	4	4	70	30	23	0	5	0	728
941	Jdforrester	475	100	23	28	7	1	67	15	0	0	5	0	721
714	Gabbe	685	1	1	1	1	2	24	3	1	0	0	0	719
1082	Kjkolb	555	15	0	1	1	0	139	8	0	0	0	0	719
1037	Kaldari	420	42	0	82	20	18	113	16	5	0	1	0	717
967	Jitse Niesen	628	24	0	14	9	2	35	4	0	0	0	0	716
627	Extraordinary Machine	344	142	0	15	5	0	181	28	0	0	0	0	715
68	AlisonW	496	11	0	59	5	2	131	10	0	0	0	0	714
618	Evercat	353	7	0	32	25	1	261	35	0	0	0	0	714
816	Hbdragon88	694	7	0	7	1	3	2	0	0	0	0	0	714
1465	Pamri	707	1	0	0	4	0	0	0	0	0	0	0	712
1634	Rick Block	638	3	0	3	2	0	63	2	0	0	0	0	711
1396	Nine Tail Fox	623	62	0	9	6	0	10	0	0	0	0	0	710
654	Femto	370	4	0	30	7	0	288	9	0	0	0	0	708
1127	Leebo	547	11	0	16	0	0	127	7	0	0	0	0	708
59	Alex Shih	553	14	0	48	8	1	74	1	4	0	0	0	703
1255	Mav	529	13	0	128	2	1	21	7	0	0	0	0	701
1368	Nat	191	35	0	156	9	31	263	15	0	0	0	0	700
149	Atlant	92	1	0	11	0	0	573	20	2	0	0	0	699
390	Cnwb	661	11	0	0	0	0	23	2	0	0	0	0	697
913	Jacoplane	332	33	0	97	55	5	159	11	0	0	0	0	692
469	David Kernow	635	5	0	45	0	0	0	0	0	0	0	0	685
306	Canadian-Bacon	426	2	0	16	3	0	232	5	0	0	0	0	684
1008	Journalist	421	8	0	63	27	9	133	15	4	0	4	0	684
1700	SCZenz	447	17	0	17	21	5	149	26	0	0	0	0	682
603	ErrantX	377	36	54	83	3	13	94	12	4	0	5	0	681
268	Buckshot06	541	14	0	54	0	8	57	2	1	0	0	0	677
1684	Ruhrfisch	404	29	48	88	8	11	73	9	4	0	3	0	677
2148	Wtmitchell	234	5	1	5	1	0	402	7	16	0	0	0	671
208	Bigtimepeace	566	9	0	5	1	1	81	4	2	0	1	0	670
2149	Wwoods	394	98	0	94	4	11	66	0	0	0	0	0	667
955	Jerzy	352	186	0	4	0	0	114	5	3	0	0	0	664
1775	Seraphim	404	35	0	40	9	11	135	22	1	0	3	0	660
1333	Monty845	362	6	12	37	4	8	213	1	4	0	12	0	659
573	EdwinHJ	601	7	0	15	4	1	23	7	0	0	0	0	658
1566	Qwghlm	592	31	0	17	1	0	17	0	0	0	0	0	658
380	Ck lostsword	310	4	0	13	1	5	308	16	0	0	0	0	657
1316	Mjroots	336	11	19	92	8	30	143	9	9	0	0	0	657
1106	Kyle Barbour	478	118	0	2	0	0	47	11	0	0	0	0	656
1511	Phil Boswell	540	10	0	79	1	3	19	4	0	0	0	0	656
313	Capitalistroadster	621	1	0	3	0	0	25	3	0	0	0	0	653
1678	RoySmith	352	14	0	31	8	0	237	10	1	0	0	0	653
906	JPD	622	5	0	2	2	0	19	1	0	0	0	0	651
1218	Marine 69-71	366	5	0	86	33	3	122	35	0	0	1	0	651
401	Conti	466	45	1	14	38	7	75	3	0	0	1	0	650
428	DDima	622	20	0	2	0	1	1	0	0	0	0	0	646
2124	Wile E. Heresiarch	619	1	0	1	0	0	25	0	0	0	0	0	646
805	Happyme22	572	9	0	44	1	8	11	0	0	0	0	0	645
335	Cecropia	39	3	0	36	5	0	6	6	0	215	334	0	644
415	Crum375	187	18	1	98	8	24	291	13	2	0	0	0	642
695	Fribbler	610	5	0	12	0	3	3	2	1	0	2	0	638
979	Joe Beaudoin Jr.	545	1	0	17	3	0	68	2	0	0	0	0	636
657	Ferkelparade	591	3	0	2	1	0	37	0	1	0	0	0	635
1238	Master Jay	194	8	0	84	7	1	304	36	0	0	0	0	634
578	Eleassar	548	55	5	14	1	0	8	0	0	0	0	0	631
1066	Kicking222	628	1	0	0	0	0	1	0	0	0	0	0	630
1731	Saravask	420	16	0	58	22	15	78	13	0	0	2	0	624
628	Extreme Unction	543	22	0	26	2	0	26	4	0	0	0	0	623
847	Humblefool	598	11	0	3	2	0	4	2	0	0	0	0	620
1836	SmthManly	519	4	0	32	9	1	51	2	0	0	0	0	618
1395	Nilfanion	575	25	0	4	3	0	8	0	1	0	0	0	616
1122	Law	361	20	0	15	2	1	204	6	5	0	1	0	615
1598	Raven4x4x	407	2	0	3	0	0	200	1	0	0	1	0	614
1835	Smith609	451	62	3	49	8	23	9	3	6	0	0	0	614
137	Arsenikk	603	5	0	2	0	0	1	0	0	0	1	0	612
1687	Runningonbrains	368	9	34	16	2	7	150	6	15	0	0	0	607
986	John Carter	499	7	1	23	2	2	44	4	18	0	3	0	603
1946	The Land	461	6	0	15	9	0	97	13	0	0	0	0	601
1061	Khaosworks	331	12	0	10	4	0	162	80	0	0	0	0	599
788	Gurubrahma	309	6	0	145	93	1	39	2	0	0	0	0	595
1906	TUF-KAT	542	39	0	0	0	0	12	1	0	0	0	0	594
1006	Josiah Rowe	122	26	0	79	13	0	334	19	0	0	0	0	593
1026	Jza84	353	1	0	69	1	6	149	6	1	0	6	0	592
1802	Shubinator	545	27	0	12	5	2	0	0	0	0	1	0	592
2030	Trilobite	514	1	0	3	3	0	63	6	0	0	0	0	590
1035	Kaisershatner	70	0	0	14	3	2	482	16	0	0	0	0	587
774	Grm wnr	532	6	0	4	2	0	37	5	0	0	0	0	586
1311	Miniapolis	530	3	2	33	1	4	12	1	0	0	0	0	586
83	Ameliorate!	390	6	0	46	3	2	127	8	1	0	2	0	585
228	Blurpeace	410	26	38	19	3	4	66	3	3	0	10	0	582
1033	Kaihsu	380	36	0	11	6	0	128	15	0	0	0	0	576
1393	Nikki311	489	5	0	25	1	2	51	1	0	0	1	0	575
77	Alvestrand	470	30	0	8	4	0	56	4	2	0	0	0	574
112	AniMate	318	10	28	24	3	1	153	13	19	0	3	0	572
439	Dan100	294	16	0	18	12	0	186	44	0	0	0	0	570
1968	Theleftorium	477	23	28	9	1	1	24	4	2	0	0	0	569
85	Amire80	466	46	0	10	2	1	36	5	1	0	1	0	568
1288	Michael Hardy	426	112	0	1	0	0	18	6	1	0	0	0	564
502	Derek Ross	526	11	0	15	4	3	2	0	0	0	0	0	561
23	Abecedare	234	14	0	92	3	11	182	8	12	0	2	0	558
1632	Richardcavell	433	8	0	29	9	1	73	2	0	0	0	0	555
1841	SoLando	316	14	0	19	7	0	193	6	0	0	0	0	555
971	Jmh649	89	7	3	88	10	38	290	9	18	0	2	0	554
1471	Pastor Theo	474	0	0	8	0	0	59	9	1	0	1	0	552
55	Aldux	124	1	0	170	36	0	201	18	0	0	0	0	550
866	Ihcoyc	464	12	0	67	1	1	3	0	2	0	0	0	550
1298	Mike Cline	495	4	0	30	1	13	5	0	0	0	0	0	548
1610	Redux	196	12	0	24	7	0	48	1	0	131	129	0	548
1783	Sgeureka	517	24	0	1	0	0	3	1	1	0	0	0	547
205	BigDom	535	10	0	1	0	0	0	0	0	0	0	0	546
688	Frazzydee	384	15	0	65	34	0	28	13	1	0	6	0	546
960	Jimbo Wales	314	18	2	62	14	5	80	42	0	0	9	0	546
2050	UpstateNYer	447	1	2	4	0	5	5	1	0	0	81	0	546
1292	Michaelas10	363	22	0	80	8	1	61	8	0	0	0	0	543
851	Hurricanehink	483	34	0	6	0	1	12	0	0	0	6	0	542
1759	Sean Whitton	439	16	0	18	7	0	55	3	0	0	3	0	541
1132	Leonard^Bloom	501	0	0	16	0	1	10	1	2	0	7	0	538
2077	Victuallers	137	10	0	354	3	13	17	3	1	0	0	0	538
1370	Natalya	330	13	0	36	7	3	109	39	0	0	0	0	537
1784	Shadow1	293	13	0	32	4	0	168	27	0	0	0	0	537
1838	Sn0wflake	406	3	0	15	2	0	108	2	1	0	0	0	537
1579	RadicalBender	510	8	0	3	0	0	13	0	0	0	0	0	534
1615	Reflex Reaction	511	14	0	1	2	0	6	0	0	0	0	0	534
2106	Werdna	364	10	2	37	2	4	75	25	4	0	10	0	533
1243	Matilda	221	20	0	33	15	1	231	10	0	0	0	0	531
1029	KF	511	16	0	2	0	0	1	0	0	0	0	0	530
1160	Lowellian	380	123	0	21	2	3	0	0	0	0	0	0	529
