Date  Debt Held by the Public	Intragovernmental Holdings	Total Public Debt Outstanding
08/06/2001	NA	NA	5718658696584.40
08/07/2001	NA	NA	5721320943946.25
08/08/2001	NA	NA	5720324946092.23
08/09/2001	NA	NA	5738627823527.66
08/10/2001	NA	NA	5738213090042.93
08/13/2001	NA	NA	5738291641591.46
08/14/2001	NA	NA	5740950419574.28
08/15/2001	NA	NA	5754582516257.65
08/16/2001	NA	NA	5776340437396.11
08/17/2001	NA	NA	5777555753469.15
08/20/2001	NA	NA	5776826279419.73
08/21/2001	NA	NA	5780199767937.07
08/22/2001	NA	NA	5779164972811.46
08/23/2001	NA	NA	5804540124890.75
08/24/2001	NA	NA	5804791970827.93
08/27/2001	NA	NA	5803353287714.99
08/28/2001	NA	NA	5806456471521.95
08/29/2001	NA	NA	5806216994487.35
08/30/2001	NA	NA	5806301992643.13
08/31/2001	NA	NA	5769875781034.48
09/04/2001	NA	NA	5761532655812.62
09/05/2001	NA	NA	5769122055290.29
09/06/2001	NA	NA	5774086630858.16
09/07/2001	NA	NA	5772587811775.31
09/10/2001	NA	NA	5773172068291.89
09/12/2001	NA	NA	5776301150520.56
09/13/2001	NA	NA	5769813790210.52
09/14/2001	NA	NA	5768286494306.88
09/17/2001	NA	NA	5770524739693.52
09/18/2001	NA	NA	5775665965111.95
09/19/2001	NA	NA	5774557678102.79
09/20/2001	NA	NA	5781706480008.58
09/21/2001	NA	NA	5779002782690.43
09/25/2001	NA	NA	5781883935596.61
09/26/2001	NA	NA	5782882996921.49
09/27/2001	NA	NA	5783811385189.46
09/28/2001	3339310176094.74	2468153236105.32	5807463412200.06
10/01/2001	NA	NA	5806151389190.21
10/02/2001	NA	NA	5815899927829.86
10/03/2001	NA	NA	5797694485722.59
10/04/2001	NA	NA	5803751789864.65
10/05/2001	NA	NA	5810495191205.19
10/09/2001	NA	NA	5808819610348.90
10/10/2001	NA	NA	5805746196414.92
10/11/2001	NA	NA	5811762115860.32
10/12/2001	NA	NA	5813332736265.82
10/15/2001	NA	NA	5818887492619.52
10/16/2001	NA	NA	5820976918375.44
10/17/2001	NA	NA	5820599313961.29
10/18/2001	NA	NA	5819279815278.59
10/19/2001	NA	NA	5819139910042.71
10/22/2001	NA	NA	5819200893343.94
10/23/2001	NA	NA	5821675171748.09
10/24/2001	NA	NA	5820311931563.74
10/25/2001	NA	NA	5823620074112.16
10/26/2001	NA	NA	5824411453143.54
10/29/2001	NA	NA	5822039361288.25
10/30/2001	NA	NA	5821971462166.69
10/31/2001	3333039379996.92	2482943910405.32	5815983290402.24
11/01/2001	NA	NA	5817190945192.56
11/02/2001	NA	NA	5806732894990.90
11/05/2001	NA	NA	5808104752337.60
11/06/2001	NA	NA	5812512816875.50
11/07/2001	NA	NA	5811736699857.67
11/08/2001	NA	NA	5831055423208.83
11/09/2001	NA	NA	5831816816491.18
11/13/2001	NA	NA	5832492480919.84
11/14/2001	NA	NA	5833108738567.23
11/15/2001	NA	NA	5860555739187.45
11/16/2001	NA	NA	5863247749685.03
11/19/2001	NA	NA	5864207782711.29
11/20/2001	NA	NA	5866343417402.65
11/21/2001	NA	NA	5864172553027.38
11/23/2001	NA	NA	5888497863561.77
11/26/2001	NA	NA	5890476569034.66
11/27/2001	NA	NA	5895478723477.68
11/28/2001	NA	NA	5893029295436.42
11/29/2001	NA	NA	5896680618134.52
11/30/2001	3404026838038.17	2484870049533.17	5888896887571.34
12/03/2001	NA	NA	5862832382763.04
12/04/2001	NA	NA	5867886281057.86
12/05/2001	NA	NA	5868016815751.26
12/06/2001	NA	NA	5877883213016.24
12/07/2001	NA	NA	5874922950915.27
12/10/2001	NA	NA	5877125427843.37
12/11/2001	NA	NA	5879691857799.79
